,id,name,type,ra,dec,const,majax,minax,pa,bmag,vmag,jmag,hmag,kmag,sbrightn,hubble,parallax,pmra,pmdec,radvel,redshift,cstarumag,cstarbmag,cstarvmag,messier,ngc,ic,cstarnames,identifiers,commonnames,nednotes,ongcnotes,notngc,KStars_Type,ra_degrees,dec_degrees
12355,12356,NGC6333,GCl,4.534349397829791,-0.32316952762240003,Oph,6.9,,,9.36,8.42,,,,,,0.1117,-2.21,-3.21,311.0,0.001037,,,,009,,,,MWSC 2567,,,,False,14,259.79908333333333,-18.51625
12363,12364,NGC6341,GCl,4.525294775114549,0.7528744376002151,Her,14.4,,,,6.52,,,,,,0.0562,,,-120.0,-0.000402,,,,092,,,,MWSC 2557,,,,False,14,259.28029166666664,43.13652777777778
12428,12429,NGC6402,GCl,4.614662177801354,-0.05665193307869261,Oph,,,,9.55,5.73,,,,,,0.0589,-3.66,-5.03,-61.0,-0.000202,,,,014,,,,MWSC 2643,,,,False,14,264.4006666666667,-3.2459166666666666
12431,12432,NGC6405,OCl,4.626631500367426,-0.5629414058203378,Sco,15.6,,,4.48,4.2,,,,,,2.1626,-1.366,-5.806,-9.0,-3.2e-05,,,,006,,,,MWSC 2661,Butterfly Cluster,,,False,3,265.0864583333333,-32.25416666666667
12504,12505,NGC6475,OCl,4.685567633104667,-0.6072494977643005,Sco,22.2,,,3.45,3.3,,,,,,3.5704,3.072,-5.316,-15.0,-4.9e-05,,,,007,,,,MWSC 2739,Ptolemy's Cluster,,,False,3,268.46325,-34.792833333333334
12523,12524,NGC6494,OCl,4.699645895183567,-0.3313565762552968,Sgr,16.8,,,6.03,5.5,,,,,,1.354,0.284,-1.809,-32.0,-0.000106,,,,023,,,,MWSC 2757,,,,False,3,269.269875,-18.985333333333333
12543,12544,NGC6514,Neb,4.72417795226139,-0.4009350965134129,Sgr,28.0,28.0,,6.3,8.5,,,,,,0.79,0.41,-1.69,-5.0,-1.7e-05,,,,020,,,,"LBN 27,MWSC 2789",Trifid Nebula,,,False,5,270.6754583333333,-22.971888888888888
12552,12553,NGC6523,Neb,4.7284801888675565,-0.4255141805183042,Sgr,45.0,30.0,,5.0,5.8,,,,,,,,,4.0,1.3e-05,,,,008,6533,,,LBN 25,Lagoon Nebula,Nominal position for NGC 6533 is -30 arcmin in error.,,False,5,270.92195833333335,-24.380166666666668
12560,12561,NGC6531,OCl,4.730820384506272,-0.39252551840088695,Sgr,6.0,,,,5.9,,,,,,0.798,0.525,-1.521,-18.0,-6.1e-05,,,,021,,,,MWSC 2796,,,,False,3,271.05604166666666,-22.490055555555557
12642,12643,NGC6611,Neb,4.794431817977292,-0.24098148833230595,Se2,120.0,25.0,,6.58,6.0,,,,,,0.566,0.178,-1.576,10.0,3.3e-05,,,,016,,,,"LBN 67,MWSC 2886",Eagle Nebula,,,False,5,274.70070833333335,-13.807222222222222
12644,12645,NGC6613,OCl,4.799545632685636,-0.29848572386238914,Sgr,6.0,,,7.24,6.9,,,,,,0.64,-0.508,-0.917,-14.0,-4.7e-05,,,,018,,,,MWSC 2892,,,,False,3,274.99370833333336,-17.101972222222223
12649,12650,NGC6618,Neb,4.803081378861966,-0.2822464047999441,Sgr,12.6,,,6.0,7.0,,,,,,0.6,-0.04,-1.4,-45.0,-0.000149,,,,017,,,,"LBN 60,MWSC 2896","Checkmark Nebula,Lobster Nebula,Swan Nebula,omega Nebula",,,False,5,275.19629166666664,-16.17152777777778
