,id,name,BRNtype,ra,dec,const,majax,minax,pa,bmag,vmag,jmag,hmag,kmag,sbrightn,hubble,parallax,pmra,pmdec,radvel,redshift,cstarumag,cstarbmag,cstarvmag,messier,ngc,ic,cstarnames,identifiers,commonnames,nednotes,ongcnotes,notngc,Id,CAT,CAT_ID,H_id,Name_type
311,11880,NGC5897,GCl,4.002941728269861,-0.3666956150987331,Lib,9.9,,,10.16,8.52,,,,,,0.0582,-5.41,-3.46,101.0,0.000338,,,,,,,,MWSC 2285,,,,False,312,NGC,5897,H312,cluster
312,11890,NGC5907,G,3.9963509286820176,0.9831226358464371,Dra,11.3,1.75,156.0,11.07,10.37,7.94,7.09,6.76,23.6,SABc,,,,666.0,0.002225,,,,,5906,,,"2MASX J15155368+5619438,IRAS 15146+5629,MCG +09-25-040,PGC 054470,SDSS J151553.77+561943.5,SDSS J151553.77+561943.6,UGC 09801",,NGC 5906 is the part of NGC 5907 west of the dust lane.,,False,313,NGC,5907,H313,galaxy
313,11971,NGC5982,G,4.095693615264492,1.0359547219316676,Dra,3.07,2.0,110.0,11.98,11.07,9.08,8.36,8.15,23.26,E,,,,2882.0,0.00966,,,,,,,,"2MASX J15383977+5921212,MCG +10-22-029,PGC 055674,SDSS J153839.82+592121.0,UGC 09961",,,,False,314,NGC,5982,H314,galaxy
314,12129,NGC6118,G,4.283955736692425,-0.03985362384192829,Se1,4.45,1.78,59.0,12.44,11.71,9.72,9.02,8.7,23.65,Sc,,,,1566.0,0.005236,,,,,,,,"2MASX J16214862-0217003,IRAS 16192-0210,MCG +00-42-002,PGC 057924,SDSS J162148.62-021701.0,UGC 10350",,,,False,315,NGC,6118,H315,galaxy
315,12155,NGC6144,GCl,4.307628219113641,-0.45421708969471314,Sco,5.4,,,10.55,9.63,,,,,,0.0699,-1.75,-2.62,196.0,0.000653,,,,,,,,MWSC 2409,,This may also be IC 4606.,,False,315,NGC,6144,H316,cluster
316,12184,NGC6171,GCl,4.3307378328510895,-0.22782897797748536,Oph,7.8,,,9.96,8.85,,,,,,0.1491,-1.93,-5.98,-35.0,-0.000116,,,,107,,,,MWSC 2422,,,,False,316,NGC,6171,H317,galaxy
317,12224,NGC6207,G,4.376685807071405,0.6428469422997681,Her,3.46,1.61,17.0,11.86,11.64,10.08,9.42,9.12,22.66,Sc,,,,851.0,0.002842,,,,,,,,"2MASX J16430375+3649567,IRAS 16412+3655,MCG +06-37-007,PGC 058827,SDSS J164303.66+364955.7,UGC 10521",,,,False,318,NGC,6207,H318,galaxy
318,12235,NGC6217,G,4.331267249390861,1.3648154773566123,UMi,2.24,1.63,155.0,11.88,12.82,9.68,8.99,8.68,22.12,Sbc,,,,1363.0,0.004556,,,,,,,,"2MASX J16323921+7811535,IRAS 16350+7818,MCG +13-12-008,PGC 058477,UGC 10470",,,,False,319,NGC,6217,H319,galaxy
319,12247,NGC6229,GCl,4.393783488756255,0.8295166931920971,Her,4.8,,,9.38,9.86,7.98,7.43,7.33,,,0.0163,-1.19,-0.46,-139.0,-0.000462,,,,,,,,MWSC 2460,,,,False,320,NGC,6229,H320,cluster
320,12255,NGC6235,GCl,4.42189056191858,-0.38706942523368026,Oph,4.2,,,11.99,7.2,,,,,,0.0628,-3.96,-7.61,127.0,0.000423,,,,,,,,MWSC 2479,,,,False,321,NGC,6235,H321,cluster
321,12307,NGC6284,GCl,4.470133644105269,-0.4322191537280491,Oph,6.6,,,10.72,7.43,7.52,6.97,6.82,,,0.0542,-3.21,-2.0,28.0,9.4e-05,,,,,,,,"2MASX J17042874-2445512,MWSC 2528",,,,False,322,NGC,6284,H322,cluster
